b,yolov8_det_map5095,faster_rcnn_map5095,yolov8_det_map50,faster_rcnn_map50
1624,0.510417966367369,0.38459773833794964,0.7078400584099048,0.5976448140627083
1625,0.4985821650339499,0.35075107001028694,0.6970937132340776,0.5502945613109205
1626,0.49755452465525585,0.3662195104623827,0.6802549090060734,0.5751740252089365
1627,0.5022707301548717,0.3732573903784043,0.6952031776148997,0.5682124443923124
1628,0.4805894132168029,0.37552667568947357,0.6716793264191098,0.5758904573556122
1629,0.4915982445149347,0.38305601522350413,0.693024551530935,0.5776402315380068
1630,0.46846732614837056,0.35017011920492175,0.6675151427474962,0.54236013186679
1631,0.4856395183118684,0.3633745464168539,0.6782788963016437,0.5627628580654777
1632,0.48151803915024033,0.368462950657837,0.6922073453011246,0.5649306996460236
1633,0.48234227954516856,0.36140642269680345,0.6711123726783463,0.5417377481241945
1634,0.5036063730729828,0.38552756631795043,0.6936338029304298,0.5944616974539475
1635,0.48271692318065723,0.37656903954059934,0.6925189192418743,0.5820140918611556
1636,0.5040676195249081,0.38391647035056237,0.6930375013238195,0.5734361741604832
1637,0.4995267849208938,0.3664392596766887,0.6846945249463109,0.5585168101849591
1638,0.5119360666715235,0.3771249968947039,0.7062494653648678,0.5742949330865801
1639,0.49367932653680446,0.37043187716526566,0.686207469185224,0.5715103682236061
1640,0.4749608571753932,0.35824379082220015,0.6745166553422779,0.5504145855032265
1641,0.47340502696278963,0.3401828767376399,0.6544417265446084,0.5185251297718207
1642,0.5060727482396821,0.3884468254912775,0.7183371424140198,0.598438257897118
1643,0.4891427624094561,0.36074674285546793,0.6845164032028626,0.5504061485699913
1644,0.478255797736382,0.37587610547102424,0.6711319954362633,0.5699541176018836
1645,0.48171526613408705,0.3697213280863084,0.6677729272793419,0.5609453016107651
1646,0.5208855278574006,0.40404624712400006,0.7242021927225184,0.6058455899898524
1647,0.4800314618745286,0.35701164059351626,0.678092106746994,0.5576282242958049
1648,0.48927115275214733,0.3314992971982685,0.6866718533502033,0.5196983395162601
1649,0.4717610327688913,0.3653371974190019,0.6686723713296123,0.5773702621518154
1650,0.5021268122275485,0.3718307323131488,0.712807417532756,0.5773308472213224
1651,0.49795282522136763,0.3950218955412902,0.7047492369813387,0.589810483476998
1652,0.4827680000649974,0.3864781708259273,0.6692892705329174,0.5876708337477884
1653,0.5213656528545477,0.3975750388443802,0.7402648431724598,0.602625745210953
1654,0.49720006170548314,0.37779776304550244,0.6777751452251578,0.5756976833311824
1655,0.5003588914321818,0.3767379572649381,0.6717703419204485,0.5686623159128785
1656,0.4966841602623744,0.352797065833978,0.7170239857484627,0.5535331915158225
1657,0.4941235145804766,0.3557885474642357,0.6809868403338541,0.5375325871233563
1658,0.5131475610010844,0.3885539081093799,0.71855793951662,0.5784311720643501
1659,0.529642534398507,0.38564044744692005,0.7312371127294932,0.6053144216717092
1660,0.5252667687675148,0.38005119007009536,0.7298382377447044,0.585983051660924
1661,0.507835742942176,0.39254322587435786,0.7120578709687778,0.610149436846621
1662,0.49806801044764487,0.3431253692450817,0.6938262341395484,0.5305135724033708
1663,0.4935679895742294,0.36864645755557185,0.7087612176300637,0.5568709730622861
1664,0.5064866532708111,0.38292795470337493,0.7073122261442709,0.5789765369482684
1665,0.5046519364335299,0.3579422672298279,0.6881714351258282,0.5466494892881542
1666,0.5043352654893217,0.3980734434880044,0.6941801773189439,0.597395492673882
1667,0.47868657873572085,0.36372480632274234,0.6664129403713227,0.5335865110937363
1668,0.5089758438240283,0.393651181231616,0.6990225390249327,0.5875800730502504
1669,0.4877754943778893,0.3790734783903993,0.6781854649335656,0.5560827040211904
1670,0.48211377721407744,0.366759513223854,0.6668010165694017,0.5684351763061305
1671,0.5019112819634463,0.3712029039807386,0.6958929491523808,0.565027498834517
1672,0.5102997149496656,0.3703281979783698,0.7188461536763089,0.5667559929008068
1673,0.5252174852195799,0.3940580606715299,0.7165824402684416,0.6123085578372494
1674,0.48097163168066326,0.360110049577494,0.6504863452962092,0.5464011178509627
1675,0.49406726610897206,0.36951209456625533,0.6868924649256603,0.5658639778075798
1676,0.5006723631544885,0.3634344022203131,0.7137767190367904,0.5807195898592611
1677,0.4714115934572409,0.3697457412173445,0.6666597549267804,0.5656471964540996
1678,0.5231282783098075,0.4089586414569048,0.7189180651055276,0.6150920191458904
1679,0.5131940764769376,0.39084361212818286,0.7148606248801302,0.5929552412924252
1680,0.5061436210983754,0.3611102773157869,0.697125116188745,0.5599362562383375
1681,0.47236574738744025,0.35197149188917487,0.6424334739743761,0.5396381496801737
1682,0.4777577127261008,0.3577408785449593,0.6883829063023101,0.5506258595428302
1683,0.5193131993692248,0.3876297310129401,0.7192258012676129,0.5820519138974838
1684,0.5002256325355545,0.3814409260303322,0.6969520991593441,0.5846747400624284
1685,0.5142930454545818,0.40175093725981803,0.7159297498597622,0.6008800466191928
1686,0.4903873923435727,0.3552586138292455,0.682256596398993,0.5374001879661432
1687,0.485652819491944,0.34630672635540055,0.684566148947979,0.5493613771724297
1688,0.5191452788987464,0.39288059462524916,0.702471384933818,0.5947623445304714
1689,0.4777837378815744,0.3683524065366302,0.6638188434505826,0.5494100135798972
1690,0.5108168759085484,0.3647952524276472,0.7150368436747623,0.5647062893685924
1691,0.5139845419240822,0.36157798698204796,0.7179221213316964,0.5655429305931001
1692,0.5098011629291171,0.38455897601374217,0.6977801608257609,0.5755070498491426
1693,0.5354343334449704,0.39350717609065017,0.7408592302510522,0.6045599321514239
1694,0.5059107289379036,0.39448138976649477,0.7119819255549585,0.6016982360936981
1695,0.4856952779230185,0.3729111928105337,0.6837571538413572,0.5697969093959028
1696,0.46704921450188625,0.3458752940810365,0.6464270429120207,0.5432408339867322
1697,0.5042574695839838,0.36732537164946166,0.7037932635004729,0.5521968253313482
1698,0.5077162445694584,0.39817965800072547,0.7170475603965214,0.6151672736348713
1699,0.4860002292545357,0.382290708283822,0.668819498984503,0.5791567075195246
1700,0.4726629330719208,0.36057038286491555,0.6706453285424149,0.5590104763717559
1701,0.4995212895314831,0.4087440197346458,0.7032691132466445,0.6220432703988646
1702,0.4948284918113013,0.3684110634032866,0.684164031499181,0.5614665767696321
1703,0.4892230606896306,0.3649454208877988,0.6931348279278482,0.5560792069110808
1704,0.48754260035122177,0.3577781846607909,0.6799305499908816,0.5576052052183789
1705,0.5112581504519711,0.3732099567949734,0.709859793174645,0.5686145350517038
1706,0.4994886352987216,0.37770989858584886,0.6965715603430279,0.575463203203652
1707,0.49777789102950515,0.39136788284787993,0.6763018729294578,0.5801590990245485
1708,0.5015477134908516,0.3922977952445976,0.6792412000330059,0.5984173114757154
1709,0.4877415956206189,0.36175384216719164,0.6772281230815638,0.5735759815158937
1710,0.503331275298467,0.39266665091726216,0.7043436901369183,0.5897047484231479
1711,0.5020282562237186,0.3881275484706589,0.6963213201774225,0.581349312757294
1712,0.5057123441922418,0.3765206044551158,0.6910979376401726,0.5690512096805462
1713,0.497040588497322,0.3694414944596677,0.6908817023210974,0.5480713506882395
1714,0.5014103857279353,0.37853029384996395,0.6911007912289318,0.5688036669138736
1715,0.4847745456769001,0.3787284605250751,0.6787494780619312,0.5809197971831932
1716,0.4792755094434519,0.3571917580368915,0.6702833516180616,0.5620811825493233
1717,0.48775207951773153,0.35062436816855735,0.6781430082448905,0.5395012702975917
1718,0.5003517974791177,0.3836966708598924,0.7100363337219057,0.584896909553521
1719,0.5043291903144896,0.36860896726030734,0.6899550306284571,0.5619558835181423
1720,0.5009870464720437,0.3775519342699863,0.687896004841501,0.5826105512248002
1721,0.47945399733877136,0.3374683871193934,0.6750488493254672,0.5380906202866856
1722,0.5108176774361005,0.38964853319943055,0.7065483233038803,0.5823853745686255
1723,0.5127243710859437,0.39641240664632743,0.724127130155306,0.5987847506467977
1724,0.48495742791859775,0.35853654203226615,0.6885442449338192,0.5564383643313391
1725,0.4705480104875038,0.3692447011579297,0.6569490862437148,0.587535396023588
1726,0.48157942972313333,0.3730000508176096,0.6594383615630215,0.56097230120751
1727,0.4867960389337847,0.3727326492121865,0.680709484003302,0.5687331549521353
1728,0.5213526677541019,0.38595047478181205,0.7314244799327217,0.5835900623717932
1729,0.5034611682392086,0.36512336653590743,0.6910815001365395,0.5541616906081319
1730,0.5175361588907121,0.3950444547137041,0.7010491291823319,0.5959745818473566
1731,0.5060402307516239,0.381162724744938,0.7054364821221687,0.5999252097377912
1732,0.47943421826395427,0.3710859928670979,0.6849710280750942,0.5657557600496788
1733,0.5081745090266759,0.38207047801507366,0.7033691294844703,0.585202061043712
1734,0.5026366387579879,0.3775181595057907,0.6907968887504901,0.5917579780907651
1735,0.4943771651866456,0.3681861003394634,0.6685415574995933,0.5639556163097589
1736,0.5019451974910203,0.3759623161652632,0.6973527382004785,0.5605420772353746
1737,0.5185909471629145,0.3972886632004849,0.7288014971172012,0.6174642210701102
1738,0.4742894037241594,0.37065819198986116,0.6717944549416609,0.5599112677659029
1739,0.4918326052119746,0.3969272793577138,0.6808105447920182,0.6032022403186287
1740,0.4885282981798128,0.36410542741674073,0.6882241060369598,0.5497731108566384
1741,0.4787803920555911,0.36678353101065564,0.669936714501465,0.5579133531264567
1742,0.5219649485802562,0.3623581492154172,0.7150112771886167,0.5540569610809637
1743,0.48554435881931607,0.3727258901824748,0.680866108703783,0.5670001005715718
