epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,5135.6,0.86636,0.82669,1.19036,0.73718,0.6704,0.69667,0.52288,1.41952,1.45417,1.63414,0.000100806,0.000100806,0.000100806
73,5205.64,0.86667,0.82879,1.19522,0.72227,0.68409,0.69803,0.52437,1.4127,1.43625,1.63005,9.47376e-05,9.47376e-05,9.47376e-05
74,5275.57,0.85415,0.81059,1.18459,0.72263,0.69867,0.70087,0.52567,1.41653,1.45173,1.63845,8.88253e-05,8.88253e-05,8.88253e-05
75,5345.18,0.85277,0.79265,1.17581,0.74753,0.67546,0.69842,0.52757,1.42083,1.44825,1.6474,8.30746e-05,8.30746e-05,8.30746e-05
76,5415.48,0.85373,0.80327,1.18243,0.74461,0.6717,0.70069,0.53068,1.41482,1.4346,1.64184,7.74911e-05,7.74911e-05,7.74911e-05
77,5484.81,0.84261,0.78673,1.17337,0.74043,0.67546,0.70068,0.53047,1.40987,1.42067,1.63685,7.20803e-05,7.20803e-05,7.20803e-05
78,5554.25,0.83864,0.78892,1.16976,0.74244,0.68007,0.70215,0.52992,1.40053,1.43185,1.63924,6.68475e-05,6.68475e-05,6.68475e-05
79,5623.61,0.83915,0.77875,1.16969,0.76532,0.65775,0.70065,0.53015,1.42101,1.45276,1.64978,6.1798e-05,6.1798e-05,6.1798e-05
80,5693.2,0.84453,0.78358,1.16709,0.74491,0.67414,0.69934,0.52844,1.41802,1.44328,1.6501,5.69366e-05,5.69366e-05,5.69366e-05
81,5762.61,0.84149,0.77439,1.17319,0.72598,0.69136,0.69754,0.53094,1.41149,1.44922,1.64224,5.22683e-05,5.22683e-05,5.22683e-05
82,5832.42,0.82872,0.76258,1.16164,0.75027,0.6736,0.70607,0.5321,1.42006,1.43159,1.65016,4.77976e-05,4.77976e-05,4.77976e-05
83,5902.86,0.82395,0.76052,1.16239,0.74765,0.68666,0.70231,0.53228,1.41311,1.42891,1.64428,4.35288e-05,4.35288e-05,4.35288e-05
84,5972.98,0.82927,0.75481,1.16011,0.70281,0.70304,0.70505,0.53158,1.41098,1.43703,1.64799,3.94663e-05,3.94663e-05,3.94663e-05
85,6042.87,0.82261,0.74562,1.16016,0.73337,0.68367,0.70331,0.5328,1.41554,1.4445,1.65314,3.56141e-05,3.56141e-05,3.56141e-05
86,6131.06,0.73953,0.5701,1.06283,0.75529,0.66,0.68975,0.5194,1.42125,1.41945,1.67506,3.19759e-05,3.19759e-05,3.19759e-05
87,6199.9,0.72157,0.53386,1.04835,0.74058,0.67097,0.69627,0.5232,1.41766,1.43977,1.67125,2.85553e-05,2.85553e-05,2.85553e-05
88,6268.89,0.71059,0.5177,1.04222,0.73936,0.66735,0.69483,0.5239,1.42523,1.45346,1.67201,2.53557e-05,2.53557e-05,2.53557e-05
89,6338.2,0.70195,0.51474,1.03953,0.7208,0.68483,0.69319,0.52721,1.41725,1.44832,1.67009,2.23803e-05,2.23803e-05,2.23803e-05
90,6407.63,0.70012,0.51142,1.03498,0.74414,0.66848,0.69432,0.52605,1.40607,1.43224,1.66568,1.9632e-05,1.9632e-05,1.9632e-05
91,6476.77,0.69453,0.50159,1.03316,0.73916,0.66992,0.69564,0.5306,1.40385,1.43274,1.66108,1.71135e-05,1.71135e-05,1.71135e-05
92,6546.79,0.68721,0.49803,1.0307,0.75016,0.66402,0.69567,0.53092,1.39964,1.44797,1.66009,1.48273e-05,1.48273e-05,1.48273e-05
93,6616.52,0.68815,0.49074,1.02619,0.72964,0.67628,0.6961,0.52753,1.40104,1.4365,1.66112,1.27757e-05,1.27757e-05,1.27757e-05
94,6686.32,0.68772,0.48986,1.0262,0.74702,0.66907,0.69427,0.52947,1.39759,1.43975,1.65645,1.09606e-05,1.09606e-05,1.09606e-05
95,6756.06,0.69076,0.49119,1.03065,0.75203,0.66262,0.69755,0.52908,1.4052,1.44811,1.66548,9.38391e-06,9.38391e-06,9.38391e-06
96,6825.67,0.68939,0.48816,1.02328,0.74466,0.66923,0.69377,0.52869,1.40612,1.44149,1.66781,8.04714e-06,8.04714e-06,8.04714e-06
97,6894.97,0.68861,0.48834,1.02615,0.74995,0.66835,0.69306,0.52716,1.41144,1.44808,1.67102,6.95161e-06,6.95161e-06,6.95161e-06
98,6963.78,0.67641,0.48046,1.01799,0.74612,0.66767,0.69474,0.52915,1.41045,1.44135,1.66997,6.09841e-06,6.09841e-06,6.09841e-06
99,7032.66,0.68258,0.49197,1.02404,0.75475,0.65863,0.6949,0.52954,1.4086,1.44796,1.66405,5.48838e-06,5.48838e-06,5.48838e-06
100,7101.76,0.67767,0.47516,1.01832,0.75975,0.65744,0.69454,0.52888,1.40467,1.43965,1.662,5.12213e-06,5.12213e-06,5.12213e-06
1,82.7954,1.6113,2.99435,1.83002,0.47936,0.31044,0.3381,0.21936,1.8029,2.76892,1.98452,0.0670469,0.00033286,0.00033286
2,159.292,1.57931,2.59872,1.7902,0.44857,0.41305,0.40502,0.272,1.66647,2.64617,1.87496,0.0340428,0.000662133,0.000662133
3,233.567,1.55134,2.44357,1.76698,0.57577,0.44099,0.44689,0.29677,1.71788,2.31108,1.8758,0.00102266,0.000975311,0.000975311
4,307.28,1.5139,2.35984,1.73389,0.44144,0.4664,0.44084,0.29369,1.71571,2.36591,1.90021,0.000946048,0.000946048,0.000946048
5,381.362,1.45805,2.22029,1.69182,0.5037,0.51588,0.50009,0.36167,1.54467,2.05575,1.73537,0.000905463,0.000905463,0.000905463
6,455.532,1.45038,2.1751,1.67734,0.47563,0.50458,0.50144,0.35153,1.61649,2.18616,1.76191,0.000855018,0.000855018,0.000855018
7,528.442,1.41193,2.09251,1.65016,0.53658,0.52827,0.53111,0.37451,1.56822,1.99964,1.73178,0.000795954,0.000795954,0.000795954
8,602.869,1.35885,2.01733,1.61152,0.56215,0.53505,0.55556,0.41629,1.46376,1.91726,1.63668,0.000729725,0.000729725,0.000729725
9,677.381,1.32979,1.93838,1.57143,0.59771,0.54557,0.56617,0.42634,1.41482,1.83478,1.58331,0.000657963,0.000657963,0.000657963
10,751.63,1.28594,1.86544,1.54838,0.57215,0.56604,0.5793,0.43306,1.4338,1.77612,1.60362,0.000582435,0.000582435,0.000582435
11,834.639,1.28508,1.80633,1.53076,0.61419,0.57101,0.58308,0.44325,1.39569,1.73317,1.5782,0.000505,0.000505,0.000505
12,906.312,1.22787,1.65253,1.4845,0.59437,0.58221,0.58983,0.44089,1.42496,1.72092,1.5974,0.000427565,0.000427565,0.000427565
13,979.29,1.18121,1.54392,1.44368,0.6551,0.5801,0.60416,0.45893,1.37549,1.66832,1.56472,0.000352037,0.000352037,0.000352037
14,1052.35,1.1406,1.4751,1.41046,0.6222,0.61526,0.60938,0.4658,1.34905,1.64984,1.54337,0.000280275,0.000280275,0.000280275
15,1125.74,1.10266,1.40756,1.3758,0.6419,0.61413,0.61018,0.45571,1.37567,1.62552,1.56143,0.000214046,0.000214046,0.000214046
16,1200.84,1.07159,1.33626,1.34475,0.67145,0.58984,0.62694,0.47758,1.36566,1.60986,1.55328,0.000154982,0.000154982,0.000154982
17,1274.91,1.0484,1.30524,1.33219,0.68001,0.61418,0.64091,0.49114,1.32827,1.5441,1.52182,0.000104537,0.000104537,0.000104537
18,1349.31,1.01632,1.23927,1.30365,0.6956,0.59373,0.64149,0.48869,1.34354,1.55268,1.53307,6.39518e-05,6.39518e-05,6.39518e-05
19,1423.72,0.99666,1.21238,1.2953,0.67313,0.61453,0.64203,0.49441,1.33376,1.53524,1.53237,3.4227e-05,3.4227e-05,3.4227e-05
20,1496.37,0.99099,1.20535,1.28297,0.67918,0.6184,0.64541,0.4958,1.32846,1.52886,1.5278,1.60943e-05,1.60943e-05,1.60943e-05
1,121.68,1.5492,3.51399,1.72683,0.51423,0.32335,0.32503,0.23204,1.64215,2.89043,1.78497,0.0700852,0.00332386,0.00332386
2,240.884,1.51826,2.75419,1.6684,0.42157,0.46013,0.41298,0.28553,1.64483,2.57245,1.74602,0.0400836,0.00665557,0.00665557
3,355.525,1.61414,2.62811,1.72965,0.4966,0.37769,0.37231,0.20534,1.974,2.77556,2.08489,0.0100755,0.00998077,0.00998077
4,468.825,1.67068,2.62613,1.78022,0.41579,0.35746,0.35256,0.22712,1.92053,2.66725,2.03694,0.00997803,0.00997803,0.00997803
5,582.303,1.65144,2.52015,1.77884,0.6101,0.43261,0.42813,0.27641,1.85623,2.38055,1.96071,0.00996097,0.00996097,0.00996097
6,696.496,1.62629,2.41728,1.75866,0.51409,0.44509,0.44819,0.29589,1.77061,2.31628,1.88087,0.00993906,0.00993906,0.00993906
7,810.956,1.58596,2.3479,1.72522,0.4833,0.42975,0.44204,0.2991,1.86146,2.48731,2.04909,0.00991232,0.00991232,0.00991232
